,Hour,GEOTHERMAL,BIOMASS,BIOGAS,SMALL HYDRO,WIND TOTAL,SOLAR PV,SOLAR THERMAL
2017-04-01,1,934,217,172,550,1664,0,0
2017-04-01,2,935,216,171,507,1595,0,0
2017-04-01,3,935,216,172,503,1563,0,0
2017-04-01,4,935,216,172,515,1450,0,0
2017-04-01,5,935,218,172,573,1330,0,0
2017-04-01,6,936,216,172,573,1106,0,0
2017-04-01,7,936,215,171,574,937,42,0
2017-04-01,8,938,214,170,572,940,1738,0
2017-04-01,9,938,215,170,544,951,5059,62
2017-04-01,10,937,214,171,494,888,6485,187
2017-04-01,11,930,216,170,480,807,6895,238
2017-04-01,12,932,212,170,464,791,6592,247
2017-04-01,13,930,212,171,461,851,6950,229
2017-04-01,14,928,217,171,460,653,7453,155
2017-04-01,15,927,219,171,459,486,7736,177
2017-04-01,16,927,224,171,460,386,7945,203
2017-04-01,17,926,223,171,520,502,7139,221
2017-04-01,18,925,224,170,549,878,5345,195
2017-04-01,19,924,224,170,575,1388,1642,68
2017-04-01,20,928,224,171,578,1927,39,0
2017-04-01,21,930,224,171,578,2144,0,0
2017-04-01,22,931,222,171,577,2074,0,0
2017-04-01,23,931,222,171,576,2058,0,0
2017-04-01,24,933,218,171,564,1865,0,0
2017-04-02,1,933,219,173,517,1358,0,0
2017-04-02,2,934,220,173,486,758,0,0
2017-04-02,3,934,219,174,489,315,0,0
2017-04-02,4,934,219,173,504,359,0,0
2017-04-02,5,934,218,172,531,837,0,0
2017-04-02,6,936,219,174,574,759,0,0
2017-04-02,7,935,219,173,612,1050,63,0
2017-04-02,8,866,218,172,576,951,1840,8
2017-04-02,9,882,220,171,529,809,5084,109
2017-04-02,10,930,219,171,485,834,6900,206
2017-04-02,11,930,217,171,418,955,7156,237
2017-04-02,12,932,215,171,416,814,6938,245
2017-04-02,13,931,215,174,415,1364,6713,247
2017-04-02,14,923,217,173,411,1907,6438,249
2017-04-02,15,928,218,174,411,2247,6655,263
2017-04-02,16,925,217,175,416,2619,6507,255
2017-04-02,17,910,218,175,457,2827,6079,227
2017-04-02,18,932,217,174,532,2797,5231,169
2017-04-02,19,931,218,173,616,2678,1575,63
2017-04-02,20,934,217,175,616,2472,29,0
2017-04-02,21,936,217,176,615,2614,0,0
2017-04-02,22,937,215,176,620,2435,0,0
2017-04-02,23,938,214,176,583,2672,0,0
2017-04-02,24,939,212,176,564,2847,0,0
2017-04-03,1,940,208,177,506,2601,0,0
2017-04-03,2,940,208,178,486,2954,0,0
2017-04-03,3,941,211,178,485,2570,0,0
2017-04-03,4,941,213,176,486,2375,0,0
2017-04-03,5,942,207,176,499,2410,0,0
2017-04-03,6,941,203,176,558,2442,0,0
2017-04-03,7,942,204,175,545,2512,40,0
2017-04-03,8,941,202,174,530,2541,1874,0
2017-04-03,9,940,209,177,519,2834,5509,52
2017-04-03,10,939,216,181,484,3075,7460,179
2017-04-03,11,939,220,181,416,3313,8060,230
2017-04-03,12,938,217,180,413,3373,8452,259
2017-04-03,13,939,219,181,407,3318,8212,224
2017-04-03,14,939,220,181,417,3100,8767,148
2017-04-03,15,938,219,182,424,2820,8471,73
2017-04-03,16,936,221,182,420,2775,8511,12
2017-04-03,17,936,220,181,441,2764,7696,6
2017-04-03,18,937,220,181,517,3093,5658,0
2017-04-03,19,937,221,181,557,3335,1722,0
2017-04-03,20,939,219,181,593,3480,12,0
2017-04-03,21,941,219,180,566,3415,0,0
2017-04-03,22,942,215,180,572,3036,0,0
2017-04-03,23,943,212,180,535,2856,0,0
2017-04-03,24,943,211,179,514,2633,0,0
2017-04-04,1,942,210,180,487,2462,0,0
2017-04-04,2,943,211,181,483,2512,0,0
2017-04-04,3,943,211,180,477,2421,0,0
2017-04-04,4,944,212,179,485,2376,0,0
2017-04-04,5,943,212,182,513,1841,0,0
2017-04-04,6,943,212,182,529,1186,0,0
2017-04-04,7,944,211,181,557,812,61,0
2017-04-04,8,944,214,179,554,608,2358,0
2017-04-04,9,941,219,179,498,411,6243,108
2017-04-04,10,938,220,180,484,427,7929,146
2017-04-04,11,938,219,180,430,552,8498,138
2017-04-04,12,937,218,180,417,584,8566,92
2017-04-04,13,935,220,180,415,464,8751,116
2017-04-04,14,933,219,180,414,262,8799,171
2017-04-04,15,932,218,180,413,182,8628,250
2017-04-04,16,933,221,180,419,161,8142,246
