,Hour,GEOTHERMAL,BIOMASS,BIOGAS,SMALL HYDRO,WIND TOTAL,SOLAR PV,SOLAR THERMAL
2017-04-04,17,932,221,180,488,159,6739,243
2017-04-04,18,934,219,180,503,258,4506,194
2017-04-04,19,936,219,180,546,441,1301,59
2017-04-04,20,939,219,181,547,600,64,0
2017-04-04,21,940,216,181,547,754,0,0
2017-04-04,22,941,214,180,545,893,0,0
2017-04-04,23,942,210,181,508,1078,0,0
2017-04-04,24,943,211,181,501,1135,0,0
2017-04-05,1,944,211,181,476,875,0,0
2017-04-05,2,945,209,182,460,574,0,0
2017-04-05,3,946,213,183,461,455,0,0
2017-04-05,4,946,215,183,462,342,0,0
2017-04-05,5,946,215,183,463,318,0,0
2017-04-05,6,947,213,183,507,211,0,0
2017-04-05,7,948,210,181,549,201,87,0
2017-04-05,8,947,214,180,522,201,1786,3
2017-04-05,9,939,218,180,482,274,4854,15
2017-04-05,10,936,217,180,467,230,6984,7
2017-04-05,11,934,220,180,474,229,8087,3
2017-04-05,12,932,216,180,466,207,8710,20
2017-04-05,13,932,218,180,482,187,8732,109
2017-04-05,14,931,216,181,486,223,8819,192
2017-04-05,15,930,218,183,490,193,8763,196
2017-04-05,16,929,218,183,496,177,8194,233
2017-04-05,17,930,220,183,498,186,7302,203
2017-04-05,18,929,216,184,508,260,4865,152
2017-04-05,19,931,218,184,583,398,1285,33
2017-04-05,20,933,217,187,592,449,51,0
2017-04-05,21,933,217,186,574,427,0,0
2017-04-05,22,934,214,186,573,561,0,0
2017-04-05,23,934,211,186,530,602,0,0
2017-04-05,24,936,211,186,522,969,0,0
2017-04-06,1,937,211,188,495,775,0,0
2017-04-06,2,936,212,187,487,658,0,0
2017-04-06,3,936,212,187,483,642,0,0
2017-04-06,4,935,216,188,482,440,0,0
2017-04-06,5,934,217,188,493,395,0,0
2017-04-06,6,934,214,188,515,310,0,0
2017-04-06,7,934,209,186,560,289,117,0
2017-04-06,8,934,196,187,561,204,1615,0
2017-04-06,9,932,196,187,525,267,4189,0
2017-04-06,10,931,199,187,479,475,5868,64
2017-04-06,11,932,200,187,485,671,6378,144
2017-04-06,12,931,194,187,469,728,6409,205
2017-04-06,13,929,197,188,433,933,6406,202
2017-04-06,14,928,196,186,471,1052,6256,125
2017-04-06,15,927,198,189,482,1328,5442,48
2017-04-06,16,927,168,189,487,1240,4212,42
2017-04-06,17,928,178,189,499,1234,3519,0
2017-04-06,18,929,178,189,506,1280,2552,0
2017-04-06,19,928,178,188,558,1377,747,0
2017-04-06,20,928,176,185,552,1485,3,0
2017-04-06,21,929,185,187,565,1948,0,0
2017-04-06,22,898,185,186,555,2259,0,0
2017-04-06,23,929,186,187,496,2105,0,0
2017-04-06,24,929,186,188,484,2129,0,0
2017-04-07,1,929,184,189,475,1596,0,0
2017-04-07,2,929,191,188,477,1889,0,0
2017-04-07,3,928,193,189,434,1679,0,0
2017-04-07,4,929,201,189,433,1611,0,0
2017-04-07,5,930,204,190,469,1439,0,0
2017-04-07,6,927,198,190,498,1368,0,0
2017-04-07,7,925,195,188,542,1407,47,0
2017-04-07,8,928,199,189,541,1323,1014,0
2017-04-07,9,930,199,190,505,1185,2118,0
2017-04-07,10,913,202,190,470,1173,3208,0
2017-04-07,11,915,205,189,464,1465,4774,0
2017-04-07,12,918,200,188,455,1466,6043,0
2017-04-07,13,897,200,188,433,1481,6345,0
2017-04-07,14,863,190,187,447,1537,6214,0
2017-04-07,15,866,177,188,463,1879,6114,0
2017-04-07,16,913,174,189,451,2118,5348,0
2017-04-07,17,908,175,189,518,2231,4146,0
2017-04-07,18,913,174,189,540,2174,2412,0
2017-04-07,19,927,177,189,588,2201,618,0
2017-04-07,20,922,176,189,595,1913,0,0
2017-04-07,21,929,174,190,577,1897,0,0
2017-04-07,22,930,166,189,563,1956,0,0
2017-04-07,23,931,169,190,522,2150,0,0
2017-04-07,24,934,169,189,514,1431,0,0
2017-04-08,1,933,167,190,500,943,0,0
2017-04-08,2,933,167,190,499,1547,0,0
2017-04-08,3,934,167,191,501,2075,0,0
2017-04-08,4,935,168,191,500,2028,0,0
2017-04-08,5,936,171,182,501,2142,0,0
2017-04-08,6,935,166,189,511,1923,0,0
2017-04-08,7,936,169,180,571,1708,41,0
2017-04-08,8,934,170,179,578,1659,1637,0
2017-04-08,9,935,169,178,559,1710,4456,1
2017-04-08,10,935,170,171,447,2120,6492,42
2017-04-08,11,935,169,177,440,2547,7314,86
2017-04-08,12,908,163,178,439,2827,6406,109
2017-04-08,13,785,166,179,432,3024,6086,92
2017-04-08,14,806,181,175,440,3033,5924,104
2017-04-08,15,867,188,172,444,3373,5866,116
2017-04-08,16,823,189,174,440,3369,5431,120
2017-04-08,17,885,188,174,462,3235,5369,124
2017-04-08,18,908,188,174,500,3004,4417,117
2017-04-08,19,936,189,175,521,2920,1306,44
2017-04-08,20,930,187,175,519,2799,17,0
2017-04-08,21,931,187,176,514,2534,0,0
2017-04-08,22,936,178,177,513,2469,0,0
2017-04-08,23,933,149,178,502,2339,0,0
2017-04-08,24,938,149,177,505,2671,0,0
2017-04-09,1,938,152,175,493,2574,0,0
2017-04-09,2,938,151,175,495,2708,0,0
2017-04-09,3,939,153,175,494,2123,0,0
2017-04-09,4,939,153,175,491,1768,0,0
2017-04-09,5,940,153,175,488,957,0,0
2017-04-09,6,940,148,175,502,415,0,0
2017-04-09,7,939,150,174,505,199,122,0
2017-04-09,8,938,156,171,491,146,1628,0
2017-04-09,9,934,155,173,478,125,4155,0
2017-04-09,10,939,156,174,425,219,6171,20
2017-04-09,11,938,155,173,421,245,7465,76
2017-04-09,12,937,155,170,422,190,8165,80
2017-04-09,13,936,150,176,422,108,8269,55
2017-04-09,14,937,147,181,424,75,8255,74
2017-04-09,15,936,148,185,424,65,8137,34
2017-04-09,16,935,151,186,425,96,8200,150
2017-04-09,17,934,152,185,448,147,7757,228
2017-04-09,18,934,158,187,486,339,5787,202
2017-04-09,19,933,167,189,513,1034,1782,78
2017-04-09,20,930,171,190,512,1953,65,0
2017-04-09,21,935,173,189,508,1990,0,0
2017-04-09,22,934,174,188,506,2079,0,0
2017-04-09,23,935,173,188,510,2066,0,0
2017-04-09,24,936,174,186,492,2118,0,0
2017-04-10,1,924,175,178,484,1973,0,0
2017-04-10,2,923,173,178,445,2036,0,0
2017-04-10,3,923,175,178,444,1988,0,0
2017-04-10,4,922,174,178,444,1831,0,0
2017-04-10,5,922,170,178,483,1652,0,0
2017-04-10,6,921,168,178,507,1748,0,0
2017-04-10,7,923,182,177,550,1622,132,0
2017-04-10,8,928,194,174,543,1176,2634,0
2017-04-10,9,926,195,177,497,799,6352,16
2017-04-10,10,927,212,177,492,537,8192,128
2017-04-10,11,927,215,177,471,198,8936,261
2017-04-10,12,928,211,175,461,34,9172,295
2017-04-10,13,928,214,171,444,15,9112,291
2017-04-10,14,928,214,167,456,28,9066,298
2017-04-10,15,924,212,163,455,67,9084,292
2017-04-10,16,927,216,170,490,159,8878,277
2017-04-10,17,925,218,170,496,288,8155,256
2017-04-10,18,924,216,169,517,429,6042,188
2017-04-10,19,924,216,172,542,515,2154,82
2017-04-10,20,926,214,173,585,814,282,0
2017-04-10,21,927,213,168,567,1263,0,0
2017-04-10,22,927,206,166,566,1322,0,0
2017-04-10,23,927,207,165,529,1168,0,0
2017-04-10,24,921,203,166,518,720,0,0
2017-04-11,1,852,208,167,499,317,0,0
2017-04-11,2,849,207,167,495,267,0,0
2017-04-11,3,851,209,168,489,325,0,0
2017-04-11,4,851,209,168,452,266,0,0
2017-04-11,5,850,207,167,510,124,0,0
2017-04-11,6,850,206,167,555,131,0,0
2017-04-11,7,849,202,164,556,168,137,0
2017-04-11,8,847,211,162,556,224,1728,0
2017-04-11,9,847,215,163,523,258,4293,84
2017-04-11,10,849,213,164,492,529,5916,212
2017-04-11,11,853,215,163,469,815,6761,254
2017-04-11,12,851,215,164,466,1330,7380,243
2017-04-11,13,849,218,164,431,1304,8026,245
2017-04-11,14,846,218,165,439,1512,8708,166
2017-04-11,15,845,218,164,451,2048,8461,37
2017-04-11,16,844,218,163,455,2616,8000,17
2017-04-11,17,845,217,164,458,2678,7197,84
2017-04-11,18,844,217,167,517,2629,5275,84
2017-04-11,19,847,216,165,532,2487,1903,30
2017-04-11,20,847,215,164,569,2369,278,0
2017-04-11,21,845,214,161,574,2358,0,0
2017-04-11,22,846,208,165,571,2308,0,0
2017-04-11,23,846,209,172,534,2021,0,0
2017-04-11,24,846,210,174,526,1878,0,0
2017-04-12,1,847,208,175,498,1505,0,0
2017-04-12,2,848,206,175,497,1804,0,0
2017-04-12,3,849,208,176,497,1589,0,0
2017-04-12,4,851,209,176,495,1402,0,0
2017-04-12,5,850,208,176,509,1387,0,0
2017-04-12,6,850,204,176,534,1226,0,0
2017-04-12,7,850,208,167,568,1129,168,0
2017-04-12,8,850,211,164,561,1177,2678,19
2017-04-12,9,848,212,164,519,987,5871,139
2017-04-12,10,847,215,166,467,874,7987,269
2017-04-12,11,848,214,164,460,812,8643,314
2017-04-12,12,844,213,158,461,944,8960,331
2017-04-12,13,845,216,154,436,1398,8885,334
2017-04-12,14,855,216,161,445,1909,8852,333
2017-04-12,15,876,217,163,446,2083,8753,326
2017-04-12,16,875,218,164,488,2144,8420,312
2017-04-12,17,879,218,165,488,2271,7947,289
2017-04-12,18,880,220,176,526,2433,6031,240
2017-04-12,19,879,220,180,558,2439,2193,92
2017-04-12,20,880,217,180,595,2252,109,0
2017-04-12,21,906,215,179,576,2105,0,0
2017-04-12,22,914,215,175,572,1887,0,0
2017-04-12,23,917,207,176,536,2024,0,0
2017-04-12,24,874,206,176,514,2088,0,0
2017-04-13,1,777,210,177,479,1462,0,0
2017-04-13,2,823,207,177,478,1785,0,0
2017-04-13,3,864,207,177,456,1718,0,0
2017-04-13,4,842,209,177,474,1556,0,0
2017-04-13,5,917,210,178,496,1692,0,0
2017-04-13,6,930,208,177,521,1603,0,0
2017-04-13,7,931,208,175,555,1685,166,0
2017-04-13,8,930,212,175,512,1613,2222,33
2017-04-13,9,928,215,176,507,1701,5277,148
2017-04-13,10,919,213,176,479,2004,6746,260
2017-04-13,11,925,216,176,469,2571,7518,304
2017-04-13,12,925,214,177,431,2601,8057,320
2017-04-13,13,928,217,177,436,2901,8327,296
2017-04-13,14,927,219,176,436,3108,8045,221
2017-04-13,15,927,216,177,435,3450,7797,204
2017-04-13,16,927,217,174,442,3913,7131,197
2017-04-13,17,927,218,172,439,4019,6952,177
2017-04-13,18,927,217,177,496,3601,5381,130
2017-04-13,19,924,220,177,526,3279,1760,29
2017-04-13,20,929,210,176,563,3177,184,0
2017-04-13,21,930,213,175,573,3069,57,0
2017-04-13,22,930,213,174,566,3365,0,0
2017-04-13,23,931,208,175,523,3028,0,0
2017-04-13,24,876,208,168,510,3074,0,0
2017-04-14,1,789,208,158,496,2668,0,0
2017-04-14,2,918,207,159,488,3045,0,0
2017-04-14,3,931,210,159,465,2962,0,0
2017-04-14,4,931,210,159,482,3096,0,0
2017-04-14,5,931,209,159,510,3094,0,0
2017-04-14,6,931,202,160,515,2955,0,0
2017-04-14,7,932,199,158,558,2983,242,0
2017-04-14,8,932,197,157,514,2842,2866,53
2017-04-14,9,931,200,157,501,2612,5717,195
2017-04-14,10,930,200,158,432,2460,8062,296
2017-04-14,11,927,201,159,430,2538,8570,331
2017-04-14,12,925,203,158,431,2270,8830,346
2017-04-14,13,922,204,165,448,2499,8007,312
2017-04-14,14,922,205,167,449,2732,7954,243
2017-04-14,15,923,206,168,450,2882,7623,242
2017-04-14,16,924,207,168,457,3110,7202,311
2017-04-14,17,924,214,168,456,3234,6583,296
2017-04-14,18,928,218,169,516,3188,5253,245
2017-04-14,19,929,219,169,541,3181,2035,90
2017-04-14,20,929,214,173,560,3081,79,0
2017-04-14,21,930,215,172,543,2781,0,0
2017-04-14,22,932,213,167,551,2637,0,0
2017-04-14,23,931,207,167,518,2718,0,0
2017-04-14,24,933,208,167,511,2667,0,0
2017-04-15,1,933,207,168,491,2436,0,0
2017-04-15,2,933,205,168,490,2567,0,0
2017-04-15,3,933,208,168,491,2154,0,0
2017-04-15,4,930,210,168,492,2021,0,0
2017-04-15,5,933,211,169,509,1484,0,0
2017-04-15,6,934,209,169,506,747,0,0
2017-04-15,7,933,211,167,509,427,272,0
2017-04-15,8,935,210,167,509,296,3211,54
2017-04-15,9,936,211,167,486,224,6457,188
2017-04-15,10,934,211,167,479,176,8074,305
2017-04-15,11,931,211,166,443,206,9006,336
2017-04-15,12,925,211,166,442,287,8780,355
2017-04-15,13,922,205,165,441,329,8355,363
2017-04-15,14,920,210,165,440,306,9169,364
2017-04-15,15,920,212,165,441,275,9145,361
2017-04-15,16,921,214,166,442,202,8757,346
2017-04-15,17,922,213,165,446,173,7826,314
2017-04-15,18,926,213,167,504,267,5747,250
2017-04-15,19,927,210,169,521,561,1848,95
2017-04-15,20,928,213,168,556,776,87,0
2017-04-15,21,911,211,169,554,1134,0,0
2017-04-15,22,893,210,166,518,1170,0,0
2017-04-15,23,901,210,166,511,980,0,0
2017-04-15,24,902,211,166,510,901,0,0
2017-04-16,1,903,212,168,493,726,0,0
2017-04-16,2,902,211,169,504,759,0,0
2017-04-16,3,902,213,169,493,730,0,0
2017-04-16,4,904,213,169,493,640,0,0
2017-04-16,5,904,214,169,510,477,0,0
2017-04-16,6,905,214,169,522,377,0,0
2017-04-16,7,906,213,169,518,326,233,0
2017-04-16,8,904,213,168,516,324,2729,52
2017-04-16,9,903,211,168,486,216,6039,164
2017-04-16,10,900,212,168,430,202,7654,188
2017-04-16,11,900,210,168,428,230,7844,265
2017-04-16,12,914,207,167,435,261,7768,251
2017-04-16,13,926,208,167,435,443,8159,330
2017-04-16,14,924,209,167,434,827,8112,253
2017-04-16,15,921,199,167,433,1251,7336,342
2017-04-16,16,917,180,167,434,1514,6457,346
2017-04-16,17,918,181,167,446,1715,4723,323
2017-04-16,18,921,177,167,495,1774,3698,250
2017-04-16,19,921,182,162,522,1765,1112,61
2017-04-16,20,922,180,162,557,2073,2,0
2017-04-16,21,925,182,161,557,2025,0,0
2017-04-16,22,926,181,158,522,1986,0,0
2017-04-16,23,926,182,157,516,1927,0,0
2017-04-16,24,926,180,157,504,1996,0,0
2017-04-17,1,920,180,158,510,1577,0,0
2017-04-17,2,864,178,159,492,1614,0,0
2017-04-17,3,865,181,159,490,1445,0,0
2017-04-17,4,865,180,159,485,1173,0,0
2017-04-17,5,865,180,158,495,1157,0,0
2017-04-17,6,867,180,157,507,1394,0,0
2017-04-17,7,867,179,156,527,1292,200,0
2017-04-17,8,871,179,156,527,1195,1909,0
2017-04-17,9,868,178,156,481,1116,4364,27
2017-04-17,10,868,169,157,469,1002,5907,56
2017-04-17,11,866,172,155,473,984,6658,52
2017-04-17,12,865,182,156,472,1157,6778,64
2017-04-17,13,864,184,157,478,1246,7029,33
2017-04-17,14,864,185,158,479,1361,7112,0
2017-04-17,15,863,186,158,478,1519,6828,0
2017-04-17,16,862,188,157,479,1797,6390,0
2017-04-17,17,862,189,158,487,2075,5865,0
2017-04-17,18,862,188,158,521,1982,3323,0
2017-04-17,19,862,189,158,559,1688,1234,0
2017-04-17,20,863,187,158,559,1644,20,0
2017-04-17,21,864,186,158,541,1378,0,0
2017-04-17,22,863,185,157,541,1567,0,0
2017-04-17,23,862,186,156,541,1791,0,0
2017-04-17,24,860,187,158,493,2089,0,0
2017-04-18,1,860,185,159,467,1733,0,0
2017-04-18,2,860,185,159,456,1896,0,0
2017-04-18,3,860,186,159,423,2006,0,0
2017-04-18,4,862,184,160,423,1995,0,0
2017-04-18,5,863,186,161,474,1909,0,0
2017-04-18,6,863,186,160,498,2028,0,0
2017-04-18,7,863,184,160,503,1746,300,0
2017-04-18,8,867,183,158,537,1336,2595,0
2017-04-18,9,864,185,158,526,999,5123,191
2017-04-18,10,861,184,158,498,1059,6096,314
2017-04-18,11,861,185,158,454,1193,6801,323
2017-04-18,12,861,184,157,415,1587,6573,306
2017-04-18,13,861,187,147,412,1243,7114,291
2017-04-18,14,862,187,147,412,1438,7446,63
2017-04-18,15,864,189,147,413,1925,6660,0
2017-04-18,16,863,190,145,416,2070,6231,85
2017-04-18,17,862,190,144,417,2195,5524,95
2017-04-18,18,862,186,151,483,2290,3903,69
2017-04-18,19,861,189,147,544,2344,1396,38
2017-04-18,20,862,187,146,543,2343,43,0
2017-04-18,21,863,185,148,540,2450,0,0
2017-04-18,22,864,185,144,545,2448,0,0
2017-04-18,23,864,185,142,503,2473,0,0
2017-04-18,24,857,184,143,492,2380,0,0
2017-04-19,1,865,187,143,490,1969,0,0
2017-04-19,2,866,196,142,489,2423,0,0
2017-04-19,3,866,190,143,484,2787,0,0
2017-04-19,4,866,197,143,485,3176,0,0
2017-04-19,5,866,201,143,488,2766,0,0
2017-04-19,6,866,201,143,512,2688,0,0
2017-04-19,7,866,201,142,547,3045,341,0
2017-04-19,8,869,202,140,543,2961,3224,73
2017-04-19,9,868,202,140,495,2775,6492,208
2017-04-19,10,866,201,137,486,2018,8293,318
2017-04-19,11,864,206,138,477,1211,8830,361
2017-04-19,12,863,211,139,411,771,9022,379
2017-04-19,13,861,212,146,425,654,9051,384
2017-04-19,14,859,216,147,444,1072,9055,393
2017-04-19,15,858,217,149,450,2011,8983,397
2017-04-19,16,859,218,150,447,3171,7997,382
2017-04-19,17,858,218,151,453,3736,7134,354
2017-04-19,18,859,215,151,563,3761,5912,299
2017-04-19,19,859,217,149,615,3731,2241,139
2017-04-19,20,859,216,150,623,3760,93,0
2017-04-19,21,859,214,149,603,3998,0,0
2017-04-19,22,858,213,149,601,3738,0,0
2017-04-19,23,857,211,149,549,3366,0,0
2017-04-19,24,858,214,151,547,3159,0,0
2017-04-20,1,858,212,149,504,2810,0,0
2017-04-20,2,859,209,152,486,3012,0,0
2017-04-20,3,858,212,159,450,2718,0,0
2017-04-20,4,859,213,162,487,2945,0,0
2017-04-20,5,860,213,164,520,3038,0,0
2017-04-20,6,861,211,164,562,3201,0,0
2017-04-20,7,862,214,165,605,3071,368,0
2017-04-20,8,862,212,165,559,2681,3445,106
2017-04-20,9,860,218,169,533,2045,6335,254
2017-04-20,10,860,223,172,511,1955,8018,272
2017-04-20,11,860,227,172,411,2100,8882,356
2017-04-20,12,860,228,165,406,2649,8791,371
2017-04-20,13,861,231,164,413,2995,7698,372
2017-04-20,14,861,227,166,413,3118,8112,375
2017-04-20,15,863,229,166,414,3079,8318,368
2017-04-20,16,863,230,166,444,2983,7933,351
2017-04-20,17,861,230,165,461,2749,7545,323
2017-04-20,18,862,227,165,520,2545,5654,263
2017-04-20,19,861,229,165,579,2503,2267,114
2017-04-20,20,863,228,164,586,2333,111,0
2017-04-20,21,864,227,163,588,2540,0,0
2017-04-20,22,863,226,162,589,3047,0,0
2017-04-20,23,863,225,164,540,3049,0,0
2017-04-20,24,861,226,164,532,2714,0,0
2017-04-21,1,862,226,164,480,2530,0,0
2017-04-21,2,862,227,163,471,2622,0,0
2017-04-21,3,862,228,163,468,2550,0,0
2017-04-21,4,862,229,165,477,2265,0,0
2017-04-21,5,862,229,165,546,1612,0,0
2017-04-21,6,862,224,164,562,1234,0,0
2017-04-21,7,862,227,163,599,913,439,0
2017-04-21,8,862,226,163,562,680,3727,98
2017-04-21,9,861,227,164,539,476,7196,239
2017-04-21,10,860,227,165,438,497,8493,330
2017-04-21,11,859,227,165,445,628,9120,365
2017-04-21,12,857,227,166,436,449,9320,488
2017-04-21,13,854,228,168,452,281,9349,505
2017-04-21,14,853,225,169,487,159,9328,498
2017-04-21,15,853,229,169,494,141,9299,498
2017-04-21,16,853,231,162,494,180,8967,472
2017-04-21,17,854,231,160,502,282,8071,448
2017-04-21,18,854,229,168,566,398,6181,388
2017-04-21,19,854,226,169,616,583,2428,244
2017-04-21,20,856,213,174,617,655,139,118
2017-04-21,21,858,204,173,603,807,0,42
2017-04-21,22,859,206,172,602,850,0,0
2017-04-21,23,860,206,171,552,1065,0,0
2017-04-21,24,861,205,170,545,1154,0,0
2017-04-22,1,862,206,169,496,1058,0,0
2017-04-22,2,863,204,165,495,972,0,0
2017-04-22,3,864,206,165,449,1060,0,0
2017-04-22,4,866,206,165,486,695,0,0
2017-04-22,5,865,209,165,551,815,0,0
2017-04-22,6,866,208,164,563,705,0,0
2017-04-22,7,866,206,164,548,698,431,0
2017-04-22,8,864,209,163,538,671,3279,127
2017-04-22,9,861,211,164,524,547,6494,291
2017-04-22,10,845,210,164,482,462,8054,359
2017-04-22,11,846,211,166,455,440,8638,350
2017-04-22,12,845,210,166,450,506,8851,410
2017-04-22,13,844,211,162,445,596,8841,478
2017-04-22,14,843,213,162,445,578,8723,511
2017-04-22,15,843,213,162,445,874,8416,492
2017-04-22,16,842,197,164,446,1568,8062,448
2017-04-22,17,865,203,162,480,1981,7331,336
2017-04-22,18,872,209,164,553,2248,5255,327
2017-04-22,19,889,212,169,573,2849,1810,208
2017-04-22,20,901,210,171,608,2910,96,75
2017-04-22,21,907,203,171,608,2378,0,0
2017-04-22,22,908,178,171,571,2427,0,0
2017-04-22,23,916,166,171,552,2286,0,0
2017-04-22,24,922,159,171,552,3035,0,0
2017-04-23,1,922,159,171,525,3027,0,0
2017-04-23,2,923,155,171,501,2640,0,0
2017-04-23,3,924,148,171,457,3215,0,0
2017-04-23,4,924,150,171,480,3161,0,0
2017-04-23,5,924,156,170,561,2587,0,0
2017-04-23,6,923,155,170,563,3083,0,0
2017-04-23,7,922,151,171,564,3399,366,0
2017-04-23,8,896,150,170,553,3216,2838,0
2017-04-23,9,920,152,169,498,3437,5049,38
2017-04-23,10,922,157,170,434,3364,6198,97
2017-04-23,11,922,159,168,427,2947,6959,295
2017-04-23,12,921,160,168,428,3422,7192,272
2017-04-23,13,919,161,168,429,3683,7332,366
2017-04-23,14,917,160,169,430,3972,7519,345
2017-04-23,15,916,162,168,432,4118,7770,318
2017-04-23,16,916,158,169,476,4297,7902,312
2017-04-23,17,917,157,165,496,4180,7509,224
2017-04-23,18,916,155,165,525,4271,5911,122
2017-04-23,19,917,153,166,586,4140,2210,54
2017-04-23,20,918,154,167,621,3962,91,0
2017-04-23,21,920,152,167,585,3879,0,0
2017-04-23,22,921,148,166,579,3916,0,0
2017-04-23,23,922,142,167,567,3887,0,0
2017-04-23,24,923,121,166,565,3758,0,0
2017-04-24,1,923,120,167,501,3032,0,0
2017-04-24,2,923,120,169,483,3186,0,0
2017-04-24,3,923,124,168,448,3666,0,0
2017-04-24,4,923,128,170,485,3758,0,0
2017-04-24,5,923,130,169,554,3735,0,0
2017-04-24,6,923,134,176,564,3790,0,0
2017-04-24,7,923,133,178,602,3536,333,0
2017-04-24,8,924,130,174,566,3029,2352,0
2017-04-24,9,924,122,175,559,3516,4976,0
2017-04-24,10,924,119,174,480,3449,6770,0
2017-04-24,11,923,133,174,438,3491,7655,0
2017-04-24,12,922,131,173,444,3582,7769,0
2017-04-24,13,921,134,174,456,3699,7885,0
2017-04-24,14,919,133,175,450,3732,7899,0
2017-04-24,15,918,132,176,450,3862,7392,0
2017-04-24,16,918,133,176,450,3771,6823,0
2017-04-24,17,918,136,181,466,3655,5500,0
2017-04-24,18,918,129,180,567,3568,3411,0
2017-04-24,19,916,133,180,617,3495,1033,0
2017-04-24,20,918,133,171,610,3575,14,0
2017-04-24,21,923,132,168,591,3556,0,0
