OPEID CODE,COLLEGE NAME,CITY,STATE,ZIP,2/4 YR,EVDCode
125800,PACIFIC UNION COLLEGE,ANGWIN,CA,94508,4,4
126200,POINT LOMA NAZARENE COLLE,SAN DIEGO,CA,92106,4,4
126400,PEPPERDINE UNIVERSITY,MALIBU,CA,90263,4,4
127700,SAN FRANCISCO COLL MORTUA,SN FRANCSCO,CA,94110,2,4
127800,SAN FRANCISCO CONSRVTRY M,SN FRANCSCO,CA,94122,4,4
128100,SAN JOSE CHRISTIAN COLLEG,SAN JOSE,CA,95108,4,4
128800,CLAREMONT SCH THEOLOGY,CLAREMONT,CA,91711,,4
129100,SIMPSON COLLEGE CA,REDDING,CA,96003,4,4
129300,VANGUARD UNIVERSITY,COSTA MESA,CA,92626,4,4
129500,SOUTHWESTERN LAW SCH,LOS ANGELES,CA,90010,4,4
129900,ST JOHNS SEMINARY COLLEGE,CAMARILLO,CA,93012,4,4
130200,ST MARYS COLLEGE CA,MORAGA,CA,94556,4,4
130500,STANFORD UNIVERSITY,STANFORD,CA,94305,4,4
131000,NAVAL POSTGRADUATE SCHOOL,MONTEREY,CA,93943,2,4
132200,UNIV REDLANDS,REDLANDS,CA,92373,4,4
132500,UNIV SAN FRANCISCO,SN FRANCSCO,CA,94117,4,4
132600,SANTA CLARA UNIVERSITY,SANTA CLARA,CA,95053,4,4
132800,UNIV SOUTHERN CALIFORNIA,LOS ANGELES,CA,90089,4,4
132900,UNIV PACIFIC,STOCKTON,CA,95211,4,4
134100,WESTMONT COLLEGE,SNTA BARBRA,CA,93108,4,4
134200,WHITTIER COLLEGE,WHITTIER,CA,90608,4,4
134300,WOODBURY UNIVERSITY,BURBANK,CA,91510,4,4
274100,UNIV JUDAISM,LOS ANGELES,CA,90077,4,4
301002,ANTIOCH UNIV LOS ANGELES,MARINA DEL REY,CA,90292,4,4
301003,ANTIOCH UNIV SNTA BARBARA,SANTA BARBARA,CA,93101,4,4
394800,SAN FRANCISCO ART INSTITU,SN FRANCSCO,CA,94133,4,4
405500,HEBREW UNION COLLEGE CA,LOS ANGELES,CA,90007,2,4
448400,JOHN F KENNEDY UNIVERSITY,ORINDA,CA,94563,2,4
449000,PATTEN COLLEGE,OAKLAND,CA,94601,4,4
697500,LINCOLN UNIV CA,SAN FRNCSCO,CA,94118,4,4
701200,SAMUEL MERRITT COLLEGE,OAKLAND,CA,94609,4,4
723600,LOUISE SALINGER ACAD FASH,SN FRANCSCO,CA,94105,0,4
729600,COLEMAN COLLEGE,LA MESA,CA,92041,4,4
747001,ART INST OF CALIFORNIA LA,SANTA MONICA,CA,90405,4,4
753100,ACADEMY OF ART COL,SAN FRANCISCO,CA,94105,,4
793000,CONCORDE CAREER COL,SAN DIEGO,CA,92108,,4
871600,WEST COAST UNIVERSITY,LOS ANGELES,CA,90020,4,4
903200,EMPIRE COLL SCHOOL OF BUS,SANTA ROSA,CA,95401,4,4
915800,DON BOSCO TECH INSTITUTE,ROSEMEAD,CA,91770,2,4
926800,KELSEY-JENNEY COLLEGE,SAN DIEGO,CA,92101,,4
926803,KELSEY-JENNEY,MIRAMAR,CA,,,4
1014900,PEPPERDINE UNIV,MALIBU,CA,90263,,4
1036500,CHARLES R DREW U MEDICINE,LOS ANGELES,CA,90059,4,4
1039500,UNIV SAN DIEGO,SAN DIEGO,CA,92110,4,4
1044800,THOMAS AQUINAS COLLEGE,SANTA PAULA,CA,93060,4,4
1083100,NEW COLLEGE CALIFORNIA,SN FRANCSCO,CA,94102,4,4
1083200,WESTRN STATE U COLL LAW F,FULLERTON,CA,92631,2,4
1085400,WESTRN STATE U COLL LAW S,SAN DIEGO,CA,92110,2,4
1111200,FASHION INST DSGN MERCH L,LOS ANGELES,CA,90015,2,4
1111203,FASHION INST DESIGN,IRVINE,CA,92614,2,4
1111203,FASHION INST DSGN MERCH O,IRVINE,CA,92614,2,4
1111700,ALLIANT INTL UNIV,SAN DIEGO,CA,92131,,4
1146000,NATIONAL UNIVERSITY,SAN DIEGO,CA,92108,4,4
1164900,LOYOLA MARYMOUNT UNIVERSI,LOS ANGELES,CA,90045,4,4
1169600,COLL OCEANEERING,WILMINGTON,CA,90744,2,4
1203100,CHRISTIAN HERITAGE COLLEG,EL CAJON,CA,92019,4,4
1244700,AMERICAN ACAD DRAMATC ART,PASADENA,CA,91107,2,4
1263000,LIFE BIBLE COLLEGE,SAN DIMAS,CA,91773,4,4
1412800,CALIF CHRISTIAN COLLEGE,FRESNO,CA,93703,4,4
1597400,HEALD COLL SANTA ROSA,SANTA ROSA,CA,95403,2,4
2070500,CONCORDIA UNIVERSITY CA,IRVINE,CA,92612,4,4
2091700,KAPLAN COLLEGE,SAN DIEGO,CA,92123,4,4
2098804,U PHOENIX-CALIFORNIA,HUNTINGTON BEACH,CA,92648,4,4
2099200,AMERICAN CONSERVATORY THE,SAN FRANCISCO,CA,94102,2,4
2106900,AMER ACAD DRAM ARTS,HOLLYWOOD,CA,90028,2,4
2110200,COLUMBIA COLLEGE HOLLYWOO,LOS ANGELES,CA,90038,4,4
2110800,CALIFORNIA COLL HLTH SCI,NATIONAL CITY,CA,92050,2,4
2113601,AMERICAN INTERCONTINENTAL,LOS ANGELES,CA,90066,4,4
2120900,ITT TECHNICAL INST SACRAM,SACRAMENTO,CA,95827,2,4
2137600,YESHIVA UNIVERSITY LOS AN,LOS ANGELES,CA,90035,4,4
2206100,CALIFORNIA COLL HLTH SCI,NATIONAL CITY,CA,92050,4,4
2220200,CALIF CULINARY ACADEMY,SAN FRNCSCO,CA,94102,2,4
2231900,GEMOLOGICAL INST AMER,CARLSBAD,CA,92008,2,4
2262300,HEALD COLLEGE,SANTA ROSA,CA,95403,2,4
2262400,YESHIVA OHR ELCHONON CHAB,LOS ANGELES,CA,90046,4,4
2288500,PHILLIPS JR COLL NORTHRID,VAN NUYS,CA,91406,4,4
2291500,ITT TECHNICAL INST WEST C,WEST COVINA,CA,91790,4,4
2291600,ITT TECH SAN DIEGO,SAN DIEGO,CA,,,4
2321800,ITT TECHNICAL INST SYLMAR,SYLMAR,CA,91342,2,4
2321900,ITT TECHNICAL INST ANAHEI,ANAHEIM,CA,92801,2,4
2327600,ART INST CALIFORNIA,SAN DIEGO,CA,92108,4,4
2330500,ART INSTITUTE SOUTHERN CA,LAGUNA BCH,CA,92651,4,4
2359300,SHASTA BIBLE COLLEGE,REDDING,CA,96002,4,4
2500000,SAN JOAQUIN COLLEGE LAW,CLOVIS,CA,93612,4,4
2593200,HEALD COLL SAN JOSE,SAN JOSE,CA,95035,2,4
2593300,HEALD COLL STOCKTON,STOCKTON,CA,95210,2,4
2619300,SAMRA UNIV ORIENTAL MED,LOS ANGELES,CA,90034,4,4
2620300,PLATT COLL NEWPORT BCH,NEWPORT BEACH,CA,92660,0,4
2929300,HEALD COLL SCH TECH MARTI,MARTINEZ,CA,94553,2,4
3034000,HEALD COLL SALINAS,SALINAS,CA,93906,2,4
3367300,PRO GOLF CAREER COL,TEMECULA,CA,92591,,4
3814400,SOKA UNIV OF AMERICA,ALISO VIEJO,CA,92656,,4
4127900,TUI UNIVERSITY,CYPRESS,CA,90630,4,4
4161800,BRANDMAN UNIV,IRVINE,CA,92618,,4
43800000,LA SIERRA UNIVERSITY,RIVERSIDE,CA,92515,4,4
