Country,Unique Owners,Unique Properties,Total Property Values,"GDP (current USD, 2018 or latest available - for coverage)",Total Property Value / GDP,Mean Property value,Median Property Value,Number of firms,Mean Age,Number with age variable,Born 1985 or later (34 or younger),Born 1959 or earlier (60 or older),Middle age (35 to 59),Female share,Number of females,Number with gender variable,Properties in Dubai Marina,Properties in Palm Jumeirah,Number of villas,Number of buildings,Share of total values owned by top 10% owners,Share of total values owned by top 10% persons,Share of total values owned by top 10% firms,Share of total values owned by top 1% owners,Share of total values owned by top 1% persons,Share of total values owned by top 1% firms
Seychelles,66,353,"USD 293,254,533",1.55E+09,18.94%,"USD 830,749","USD 618,288",17,48.4,49,7,7,35,52%,34,66,17,5,118,0,83%,42%,39%,37%,37%,36%
Sierra Leone,13,68,"USD 26,020,787",4.09E+09,0.64%,"USD 382,659","USD 245,868",0,52.6,12,0,4.9998,9,,4.9998,12,9,0,10,0,83%,83%,NaN,77%,77%,NaN
Singapore,603,1045,"USD 560,047,951",3.76E+11,0.15%,"USD 535,931","USD 257,271",6,52,578,31,126,421,44%,264,600,86,15,145,4.9998,63%,59%,2%,37%,35%,2%
Slovakia,133,362,"USD 487,528,904",1.06E+11,0.46%,"USD 1,346,765","USD 243,081",23,44.9,102,16,7,79,56%,73,131,12,7,23,4.9998,88%,8%,76%,74%,4%,66%
Slovenia,46,56,"USD 26,386,351",5.41E+10,0.05%,"USD 471,185","USD 369,793",0,47.5,46,7,9,30,35%,16,46,14,5,6,0,43%,43%,NaN,14%,14%,NaN
Somalia,39,56,"USD 12,705,948",5.85E+09,0.22%,"USD 226,892","USD 187,224",0,57.1,39,4.9998,15,21,46%,18,39,0,0,6,0,35%,35%,NaN,12%,12%,NaN
South Africa,1444,2337,"USD 739,180,760",4.05E+11,0.18%,"USD 316,295","USD 222,008",4.9998,49.4,1419,149,231,1039,34%,494,1439,202,50,351,4.9998,40%,40%,0%,12%,12%,0%
South Korea,323,473,"USD 192,493,396",1.73E+12,0.01%,"USD 406,963","USD 329,300",4.9998,48.3,305,28,50,227,43%,139,321,51,9,47,0,45%,45%,1%,16%,16%,1%
Southern Sudan,8,20,"USD 9,043,319",1.20E+10,0.08%,"USD 452,166","USD 454,346",0,51.6,8,4.9998,4.9998,5,,4.9998,8,7,0,4.9998,0,43%,43%,NaN,43%,43%,NaN
Spain,527,695,"USD 274,338,500",1.42E+12,0.02%,"USD 394,732","USD 294,417",4.9998,47.2,497,51,59,387,39%,204,525,131,38,103,0,40%,40%,0%,12%,12%,0%
