Country,Unique Owners,Unique Properties,Total Property Values,"GDP (current USD, 2018 or latest available - for coverage)",Total Property Value / GDP,Mean Property value,Median Property Value,Number of firms,Mean Age,Number with age variable,Born 1985 or later (34 or younger),Born 1959 or earlier (60 or older),Middle age (35 to 59),Female share,Number of females,Number with gender variable,Properties in Dubai Marina,Properties in Palm Jumeirah,Number of villas,Number of buildings,Share of total values owned by top 10% owners,Share of total values owned by top 10% persons,Share of total values owned by top 10% firms,Share of total values owned by top 1% owners,Share of total values owned by top 1% persons,Share of total values owned by top 1% firms
"Democratic Rep, Of Congo",4.9998,4.9998,"USD 2,906,772",4.72E+10,0.01%,NaN,NaN,0,45,4.9998,0,0,4.9998,,0,4.9998,0,0,4.9998,0,96%,96%,NaN,96%,96%,NaN
Denmark,530,855,"USD 326,927,142",3.57E+11,0.09%,"USD 382,371","USD 247,832",23,49.9,483,31,69,383,35%,184,525,108,34,110,0,48%,43%,5%,13%,12%,2%
Djibouti,39,49,"USD 21,837,406",3.01E+09,0.72%,"USD 445,661","USD 284,328",0,52.4,38,4.9998,8,26,32%,12,38,8,0,5,0,40%,40%,NaN,17%,17%,NaN
Dominica,58,196,"USD 100,855,582",5.51E+08,18.32%,"USD 514,569","USD 320,047",0,48.5,54,7,5,42,17%,9,54,9,7,27,0,54%,54%,NaN,18%,18%,NaN
Dominican Republic,125,291,"USD 163,924,498",8.56E+10,0.19%,"USD 563,314","USD 326,994",0,45.3,117,23,11,83,15%,18,118,11,11,60,0,47%,47%,NaN,18%,18%,NaN
Ecuador,9,12,"USD 5,359,401",1.08E+11,0.00%,"USD 446,617","USD 522,794",0,44.8,9,0,0,9,56%,5,9,4.9998,0,4.9998,0,24%,24%,NaN,24%,24%,NaN
Egypt,6202,9484,"USD 3,442,276,051",2.50E+11,1.38%,"USD 362,956","USD 229,915",4.9998,46.8,6175,799,758,4618,25%,1548,6196,759,213,1252,19,49%,47%,2%,18%,17%,2%
El Salvador,4.9998,4.9998,"USD 1,226,562",2.60E+10,0.00%,NaN,NaN,0,41.7,4.9998,4.9998,0,4.9998,,4.9998,4.9998,0,0,0,0,50%,50%,NaN,50%,50%,NaN
Eritrea,83,192,"USD 93,537,128",2.07E+09,4.53%,"USD 487,173","USD 196,771",0,52.2,82,8,20,54,29%,24,82,6,4.9998,35,4.9998,46%,46%,NaN,13%,13%,NaN
Estonia,33,43,"USD 11,300,435",3.05E+10,0.04%,"USD 262,801","USD 180,772",0,42.5,31,7,0,24,58%,19,33,7,4.9998,6,0,42%,42%,NaN,16%,16%,NaN
Eswatini,53,75,"USD 26,142,868",4.67E+09,0.56%,"USD 348,572","USD 289,361",0,53.9,52,4.9998,14,35,34%,18,53,10,4.9998,12,0,38%,38%,NaN,13%,13%,NaN
Ethiopia,220,321,"USD 109,563,946",8.43E+10,0.13%,"USD 341,321","USD 218,954",0,50.6,220,15,37,168,32%,71,220,17,4.9998,46,0,40%,40%,NaN,10%,10%,NaN
Faroe Islands,4.9998,4.9998,"USD 147,244",3.05E+09,0.00%,NaN,NaN,0,53,4.9998,0,0,4.9998,,0,4.9998,0,0,0,0,100%,100%,NaN,100%,100%,NaN
Fiji,4.9998,4.9998,"USD 3,164,918",5.58E+09,0.06%,NaN,NaN,0,45.7,4.9998,0,0,4.9998,,4.9998,4.9998,0,0,4.9998,0,85%,85%,NaN,85%,85%,NaN
Finland,119,191,"USD 65,093,106",2.76E+11,0.02%,"USD 340,802","USD 267,176",4.9998,49.7,110,8,20,82,41%,49,119,36,14,23,0,38%,38%,1%,14%,14%,1%
Foreign Governmental Organisation,8,16,"USD 34,918,263",,,"USD 2,182,392","USD 1,395,278",4.9998,,0,0,0,0,100%,8,8,0,0,4.9998,0,32%,32%,4%,32%,32%,4%
France,3256,4924,"USD 1,959,122,490",2.79E+12,0.07%,"USD 397,872","USD 244,677",8,47.5,3161,396,445,2320,37%,1219,3252,725,179,571,0,48%,47%,0%,19%,19%,0%
Gabon,10,24,"USD 11,403,159",1.69E+10,0.07%,"USD 475,132","USD 323,586",0,42.5,10,4.9998,4.9998,4.9998,60%,6,10,0,0,4.9998,0,32%,32%,NaN,32%,32%,NaN
Gambia,4.9998,13,"USD 3,887,921",1.67E+09,0.23%,"USD 299,071","USD 302,579",0,55,4.9998,0,4.9998,4.9998,,0,4.9998,0,0,4.9998,0,71%,71%,NaN,71%,71%,NaN
Georgia,20,29,"USD 13,610,854",1.76E+10,0.08%,"USD 469,340","USD 260,700",0,49.7,20,0,4.9998,19,45%,9,20,4.9998,4.9998,4.9998,0,41%,41%,NaN,27%,27%,NaN
Germany,2109,4447,"USD 1,801,164,073",3.98E+12,0.05%,"USD 405,029","USD 218,138",10,51.7,2034,146,447,1441,33%,693,2103,427,206,557,4.9998,55%,48%,5%,25%,18%,5%
Ghana,107,175,"USD 50,991,657",6.73E+10,0.08%,"USD 291,381","USD 113,958",0,48.7,107,19,20,68,34%,36,107,23,0,6,0,64%,64%,NaN,23%,23%,NaN
Gibraltar,4.9998,132,"USD 127,170,093",3.00E+09,4.24%,"USD 963,410","USD 824,188",4.9998,,0,0,0,0,,4.9998,4.9998,0,0,0,0,100%,NaN,100%,100%,NaN,100%
Greece,517,1007,"USD 326,764,517",2.12E+11,0.15%,"USD 324,493","USD 179,620",4.9998,50.1,500,39,99,362,34%,176,513,168,41,107,4.9998,47%,46%,2%,17%,17%,2%
Grenada,13,39,"USD 18,664,657",1.17E+09,1.60%,"USD 478,581","USD 320,135",0,43.4,13,4.9998,4.9998,9,,4.9998,13,4.9998,6,4.9998,0,71%,71%,NaN,41%,41%,NaN
Guatemala,4.9998,4.9998,"USD 717,276",7.32E+10,0.00%,NaN,NaN,0,35.5,4.9998,4.9998,0,4.9998,,4.9998,4.9998,0,0,4.9998,0,77%,77%,NaN,77%,77%,NaN
Guernsey,8,19,"USD 12,116,270",4.00E+09,0.30%,"USD 637,698","USD 483,758",7,,0,0,0,0,100%,7,7,4.9998,5,4.9998,0,36%,,36%,36%,,36%
Guinea,9,17,"USD 13,340,972",1.19E+10,0.11%,"USD 784,763","USD 319,283",0,56.2,9,0,4.9998,5,,4.9998,9,4.9998,4.9998,4.9998,0,54%,54%,NaN,54%,54%,NaN
Guinea-Bissau,5,7,"USD 2,536,204",1.51E+09,0.17%,"USD 362,315","USD 182,523",0,38.2,5,4.9998,0,4.9998,,4.9998,5,0,0,4.9998,0,68%,68%,NaN,68%,68%,NaN
Guyana,4.9998,4.9998,"USD 2,053,722",4.79E+09,0.04%,NaN,NaN,0,63,4.9998,0,4.9998,0,,0,4.9998,0,0,0,0,100%,100%,NaN,100%,100%,NaN
Honduras,4.9998,4.9998,"USD 778,544",2.39E+10,0.00%,NaN,NaN,0,42.3,4.9998,0,0,4.9998,,4.9998,4.9998,0,0,4.9998,0,39%,39%,NaN,39%,39%,NaN
Hong Kong,72,186,"USD 64,696,102",3.62E+11,0.02%,"USD 347,829","USD 202,255",18,49.9,44,7,9,28,61%,42,69,8,16,13,0,56%,26%,22%,16%,12%,16%
Hungary,179,277,"USD 89,142,007",1.61E+11,0.06%,"USD 321,812","USD 214,398",4.9998,45.2,175,22,11,142,43%,76,178,43,18,31,0,41%,40%,3%,9%,9%,3%
Iceland,8,8,"USD 4,034,326",2.63E+10,0.02%,"USD 504,291","USD 495,347",0,55.3,8,0,4.9998,5,,4.9998,8,4.9998,4.9998,0,0,37%,37%,NaN,37%,37%,NaN
India,34876,68759,"USD 29,825,884,638",2.70E+12,1.10%,"USD 433,774","USD 212,846",21,48.6,34594,3566,5329,25699,35%,12155,34795,2824,863,9998,117,63%,52%,10%,33%,23%,9%
Indonesia,97,271,"USD 85,158,491",1.04E+12,0.01%,"USD 314,238","USD 179,886",0,47.1,95,7,7,81,45%,43,95,19,4.9998,30,0,78%,43%,37%,37%,9%,37%
Iran,8669,16703,"USD 7,028,738,307",2.94E+11,2.39%,"USD 420,807","USD 222,273",7,52.7,8201,683,2313,5205,36%,3085,8658,1418,360,1766,25,64%,62%,1%,31%,29%,1%
Iraq,2721,5383,"USD 2,593,462,500",2.27E+11,1.14%,"USD 481,788","USD 247,570",0,51.6,2714,252,656,1806,31%,847,2719,297,50,880,6,61%,61%,NaN,29%,29%,NaN
Ireland,1871,2647,"USD 881,663,879",3.85E+11,0.23%,"USD 333,080","USD 185,193",4.9998,52.5,1737,87,401,1249,39%,708,1827,294,111,338,4.9998,52%,51%,1%,17%,17%,1%
Isle Of Man,4.9998,4.9998,"USD 1,371,224",7.49E+09,0.02%,NaN,NaN,4.9998,,0,0,0,0,,4.9998,4.9998,0,0,0,0,54%,NaN,54%,54%,NaN,54%
Italy,2407,3700,"USD 1,130,245,242",2.09E+12,0.05%,"USD 305,472","USD 209,960",27,51.8,2259,164,506,1589,41%,983,2404,994,159,236,4.9998,45%,43%,2%,13%,12%,1%
Ivory Coast,21,34,"USD 8,593,277",5.80E+10,0.01%,"USD 252,743","USD 151,226",0,52.4,20,4.9998,5,14,,4.9998,21,4.9998,0,4.9998,0,46%,46%,NaN,19%,19%,NaN
Jamaica,16,17,"USD 4,848,632",1.57E+10,0.03%,"USD 285,214","USD 245,182",0,46.3,16,0,0,16,31%,5,16,4.9998,0,4.9998,0,29%,29%,NaN,16%,16%,NaN
Japan,186,357,"USD 136,625,164",5.04E+12,0.00%,"USD 382,704","USD 270,920",4.9998,50.4,174,13,29,132,50%,92,184,33,6,28,0,58%,55%,3%,21%,21%,3%
Jersey,7,18,"USD 18,769,999",5.60E+09,0.34%,"USD 1,042,778","USD 472,430",7,,0,0,0,0,100%,7,7,6,4.9998,4.9998,4.9998,41%,NaN,41%,41%,NaN,41%
Jordan,5555,13195,"USD 5,197,686,169",4.29E+10,12.11%,"USD 393,913","USD 188,578",4.9998,48,5529,586,822,4121,27%,1483,5552,545,169,1490,41,61%,58%,2%,31%,28%,2%
Kazakhstan,1550,2694,"USD 1,018,303,303",1.79E+11,0.57%,"USD 377,989","USD 231,468",0,48.4,1524,236,235,1053,49%,756,1548,456,301,99,4.9998,49%,49%,NaN,15%,15%,NaN
Kenya,762,1393,"USD 399,089,160",9.22E+10,0.43%,"USD 286,496","USD 151,198",0,52.9,757,59,210,488,37%,284,760,81,36,159,0,52%,52%,NaN,18%,18%,NaN
Kosovo,4.9998,4.9998,"USD 1,066,098",7.88E+09,0.01%,NaN,NaN,0,53.3,4.9998,0,0,4.9998,,4.9998,4.9998,4.9998,0,0,0,59%,59%,NaN,59%,59%,NaN
Kuwait,3444,8103,"USD 3,795,781,625",1.38E+11,2.75%,"USD 468,442","USD 181,851",7,51.3,3414,491,959,1964,39%,1343,3438,281,739,336,65,79%,51%,18%,53%,26%,18%
Kyrgistan,106,236,"USD 102,207,266",8.27E+09,1.24%,"USD 433,082","USD 275,105",0,44,103,19,10,74,50%,52,104,24,10,6,0,70%,70%,NaN,30%,30%,NaN
Latvia,96,170,"USD 65,526,530",3.44E+10,0.19%,"USD 385,450","USD 221,789",4.9998,50.9,87,8,20,59,49%,47,96,25,26,10,0,51%,49%,4%,15%,15%,4%
Lebanon,4495,7541,"USD 3,398,556,621",5.53E+10,6.15%,"USD 450,677","USD 259,953",4.9998,46,4479,574,486,3419,30%,1337,4489,481,183,1235,41,53%,53%,0%,23%,23%,0%
Lesotho,6,7,"USD 2,087,349",2.51E+09,0.08%,"USD 298,193","USD 197,084",0,40.6,5,4.9998,0,4.9998,,4.9998,5,0,0,0,0,85%,85%,NaN,85%,85%,NaN
Liberia,4.9998,7,"USD 1,898,511",3.42E+09,0.06%,"USD 271,216","USD 187,711",4.9998,43,4.9998,0,0,4.9998,,4.9998,4.9998,0,0,4.9998,0,59%,41%,59%,59%,41%,59%
Libya,402,1086,"USD 540,849,099",5.26E+10,1.03%,"USD 498,019","USD 261,379",0,51.9,401,34,100,267,27%,107,401,229,15,75,0,58%,58%,NaN,30%,30%,NaN
Liechtenstein,4.9998,14,"USD 3,826,395",6.84E+09,0.06%,"USD 273,314","USD 180,004",4.9998,54.5,4.9998,0,0,4.9998,,4.9998,4.9998,0,4.9998,0,0,68%,23%,68%,68%,23%,68%
Lithuania,104,144,"USD 36,493,973",5.37E+10,0.07%,"USD 253,430","USD 209,342",0,45.8,95,17,10,68,52%,51,98,38,4.9998,6,0,45%,40%,8%,13%,10%,8%
Luxembourg,45,72,"USD 27,803,885",7.13E+10,0.04%,"USD 386,165","USD 275,078",4.9998,54.4,39,4.9998,12,25,27%,12,44,22,6,9,0,40%,40%,3%,13%,13%,3%
Macao,4.9998,4.9998,"USD 302,629",5.53E+10,0.00%,NaN,NaN,0,45,4.9998,0,0,4.9998,,4.9998,4.9998,0,0,0,0,58%,58%,NaN,58%,58%,NaN
Macedonia,45,55,"USD 14,206,156",1.27E+10,0.11%,"USD 258,294","USD 195,301",0,45.9,44,4.9998,4.9998,37,42%,19,45,13,4.9998,4.9998,0,36%,36%,NaN,19%,19%,NaN
Madagascar,38,42,"USD 7,174,898",1.38E+10,0.05%,"USD 170,831","USD 86,501",0,46.2,38,9,4.9998,25,53%,20,38,4.9998,4.9998,4.9998,0,53%,53%,NaN,26%,26%,NaN
Malawi,29,84,"USD 18,259,680",9.88E+09,0.18%,"USD 217,377","USD 151,888",0,52.8,29,4.9998,4.9998,23,,4.9998,29,4.9998,0,4.9998,0,53%,53%,NaN,21%,21%,NaN
Malaysia,389,609,"USD 218,386,105",3.59E+11,0.06%,"USD 358,598","USD 234,270",4.9998,47.7,387,31,50,306,41%,158,389,39,10,110,4.9998,44%,40%,3%,11%,10%,3%
Maldives,17,27,"USD 12,127,150",5.30E+09,0.23%,"USD 449,154","USD 269,973",0,55.9,17,0,6,11,,4.9998,17,4.9998,4.9998,4.9998,0,52%,52%,NaN,34%,34%,NaN
Mali,13,21,"USD 10,318,570",1.71E+10,0.06%,"USD 491,360","USD 486,601",0,49.8,13,4.9998,4.9998,6,,4.9998,13,4.9998,0,4.9998,0,59%,59%,NaN,50%,50%,NaN
Malta,111,471,"USD 252,911,034",1.49E+10,1.70%,"USD 536,966","USD 272,010",22,49.1,87,8,15,64,57%,63,110,12,18,47,4.9998,77%,15%,50%,42%,4%,24%
Mauritania,24,28,"USD 9,176,369",7.35E+09,0.12%,"USD 327,727","USD 219,435",0,53.8,24,4.9998,5,16,,4.9998,24,4.9998,0,4.9998,0,40%,40%,NaN,19%,19%,NaN
Mauritius,102,149,"USD 46,262,530",1.42E+10,0.33%,"USD 310,487","USD 185,041",4.9998,48.6,98,15,19,64,49%,49,101,20,4.9998,14,0,52%,31%,16%,23%,6%,16%
Mexico,90,140,"USD 66,885,500",1.22E+12,0.01%,"USD 477,754","USD 395,806",0,45.5,89,13,7,69,39%,35,89,17,14,19,0,50%,50%,NaN,32%,32%,NaN
Moldova,39,55,"USD 14,476,265",1.15E+10,0.13%,"USD 263,205","USD 191,224",0,41.2,38,13,4.9998,22,67%,26,39,8,4.9998,4.9998,0,41%,41%,NaN,19%,19%,NaN
Monaco,4.9998,4.9998,"USD 1,573,848",7.19E+09,0.02%,NaN,NaN,0,61,4.9998,0,4.9998,4.9998,,4.9998,4.9998,0,4.9998,0,0,36%,36%,NaN,36%,36%,NaN
Mongolia,4.9998,7,"USD 683,138",1.32E+10,0.01%,"USD 97,591","USD 83,078",0,43.5,4.9998,4.9998,0,4.9998,,4.9998,4.9998,4.9998,0,0,0,30%,30%,NaN,30%,30%,NaN
Montenegro,11,16,"USD 7,470,339",5.50E+09,0.14%,"USD 466,896","USD 244,065",0,45.5,11,4.9998,4.9998,7,45%,5,11,4.9998,0,4.9998,0,67%,67%,NaN,61%,61%,NaN
Morocco,664,1443,"USD 521,248,903",1.18E+11,0.44%,"USD 361,226","USD 200,530",0,44.7,660,114,47,499,53%,353,664,109,28,144,4.9998,57%,57%,NaN,26%,26%,NaN
Mozambique,67,359,"USD 78,444,944",1.49E+10,0.53%,"USD 218,510","USD 134,717",0,47.9,67,9,8,50,28%,19,67,5,4.9998,13,5,68%,68%,NaN,22%,22%,NaN
Myanmar,18,19,"USD 4,327,004",6.71E+10,0.01%,"USD 227,737","USD 177,607",0,49.9,18,4.9998,4.9998,13,,4.9998,18,0,0,4.9998,0,34%,34%,NaN,19%,19%,NaN
Namibia,4.9998,10,"USD 2,129,521",1.37E+10,0.02%,"USD 212,952","USD 106,549",0,49.8,4.9998,0,0,4.9998,,0,4.9998,0,0,4.9998,0,35%,35%,NaN,35%,35%,NaN
Nepal,83,137,"USD 222,973,199",3.31E+10,0.67%,"USD 1,627,542","USD 205,319",0,48,82,10,11,61,24%,20,82,4.9998,5,19,0,87%,87%,NaN,70%,70%,NaN
Netherlands,1051,1721,"USD 765,740,942",9.14E+11,0.08%,"USD 444,940","USD 309,630",5,49.5,1024,138,181,705,35%,362,1049,171,120,235,0,50%,49%,1%,18%,18%,1%
New Zealand,470,642,"USD 260,075,153",2.12E+11,0.12%,"USD 405,101","USD 258,345",4.9998,49.7,462,40,72,350,34%,160,468,69,19,138,0,43%,43%,0%,12%,12%,0%
