RegionID,SizeRank,RegionName,RegionType,StateName,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30
102001,0,United States,country,,1370.3018057532665,1381.9713044293858,1392.3890895638501,1403.2035085467523,1408.901383812695,1414.264525573687,1415.1995178293828,1416.3015608363837,1415.9058872335502,1416.279184500991,1419.7956559735253,1426.2706886475032,1436.2647145412284,1444.425138127941,1452.4451609237824,1458.8994434752124,1462.8532953204578,1464.9232484856223,1464.137359485463,1463.5212463578202,1461.4583323105546,1460.654923607203,1464.1544850283726,1472.1545339769455,1483.2551591895724,1494.4885814408533,1504.916348119528,1513.4789767197424,1519.8882483368293,1522.6896304622437,1523.1294603599877,1521.2597352510195,1519.2930615524358,1518.95176125292,1522.1668536948366,1528.164194467041,1537.6351186940647,1547.5073743461558,1558.3276355736364,1568.2110876319564,1575.8208934201182,1580.7864793349615,1581.1284539875937,1580.4928169959132,1579.4452615153036,1580.2206042984642,1583.1889924869477,1589.1070706997104,1598.4937651305122,1609.2581565319467,1621.0669588924357,1631.7957934056303,1639.672551296661,1643.3922486890356,1642.5998153343019,1640.3060394226577,1637.4236097257347,1637.8328502578165,1641.4868414849561,1649.8501479882912,1658.5878056631989,1657.9134623542243,1653.4972298497755,1650.1604434981925,1655.1373739962935,1657.1740308475157,1655.1822582441177,1651.8566309513435,1652.7667571113047,1655.5121260765347,1660.8153644783551,1668.5191841247547,1685.4959492640476,1709.7139945016268,1741.9146685421372,1776.5501847342773,1814.8058721491898,1851.705725139103,1881.6609442660042,1901.5482760364887,1915.4964080050352,1928.9451079479627,1937.304350663,1955.2720600538744,1971.2569883265476,1997.7312595308742,2019.7528391299652,2044.6629591453575,2065.2757477873,2078.546078035531,2084.0842102969277
394913,1,"New York, NY",msa,NY,2506.196325987948,2533.311440966647,2552.98931719746,2570.501027950509,2573.6634354985563,2583.2232268770063,2589.299679117664,2593.4906091352805,2588.181420244787,2583.1248591445396,2581.1593457503946,2589.0268592054244,2593.7586408798447,2606.0884379342624,2616.570815554244,2633.3156856022865,2627.256360241878,2630.276382786961,2629.515170814371,2635.6067340045524,2630.246840305591,2619.5453284452733,2617.132136859862,2619.833874354243,2634.4930620019304,2653.5139732450652,2673.9486761214393,2686.4689616609185,2695.8919126957812,2694.1828284068392,2700.7997664558497,2693.249014193285,2680.810647473802,2665.1558614745386,2657.2698863514606,2662.787022917077,2669.200943127207,2684.5208652226956,2701.499943379161,2717.7123352750887,2732.6431399499043,2742.091167149282,2743.6530692742294,2737.789970812022,2726.27838604791,2719.316668085595,2715.963535509047,2723.8334832307046,2738.161766492877,2753.069008381184,2776.397616256713,2795.7981956828044,2813.6236839162916,2814.715096641296,2808.2273402120363,2800.4316570887186,2788.8600269901845,2776.0430439702527,2773.800313147682,2789.026880886364,2807.1158631738567,2804.0299791350744,2783.856389692324,2760.252676321468,2735.529147296371,,,2577.517022951871,2548.7029062770857,2536.1617353450056,2535.168309163026,2538.9352071952035,2558.6676097914933,2592.952207461771,2644.4124653317167,2700.2371063629203,2763.8938430564494,2822.1757965333427,2875.0764837614397,2908.6765652771473,2934.0112692114467,2957.7252515070504,2984.8994510534344,3032.1518361014137,3082.959790097567,3142.381056985509,3201.0353469786414,3258.6116137988624,3308.9385741613687,3327.647323396976,3321.2717165468084
753899,2,"Los Angeles, CA",msa,CA,1977.8743250924017,1990.644815014164,2004.443159950949,2016.9221365880085,2031.255504907831,2048.6161881108756,2059.0020259702815,2067.0783604512912,2073.4716894065405,2077.7339107303646,2087.6340619810308,2099.8553067622215,2116.9284207618753,2124.806398039643,2137.264003007166,2148.7251991507846,2160.838206998007,2169.3574937862086,2175.498908711621,2183.833035298893,2184.3644261194304,2188.6911876761255,2197.2311390696373,2213.6017733829967,2230.310399863283,2246.881870684996,2262.0276860317413,2273.360971955579,2286.497962299871,2293.495740566874,2301.7621206938766,2302.1566761337585,2303.322193957207,2303.4119046983014,2310.115833649919,2320.1706624168755,2332.4068094501927,2342.9892935441653,2354.4321956340045,2368.513349226477,2377.843166404334,2389.9542458337637,2396.03094851741,2403.6956536231028,2407.122623927677,2412.061029383808,2417.303924351719,2421.3699513502,2427.7743033924285,2437.877622879988,2448.6858725511006,2461.9405667652795,2471.5491937664565,2481.8041338742437,2486.9564139108998,2488.2634166759285,2489.839901441896,2494.707125209469,2501.3239098885706,2506.725804267924,2507.9694863218624,2490.9994023148583,2470.1094006292624,2453.9807545852664,2456.1957907272754,2456.1233316212433,2457.7175914114805,2461.0438335894323,2469.020577966943,2467.68440150352,2465.4142233030466,2470.322295539015,2487.4669788913334,2511.821690061815,2540.469738052465,2577.6778706372475,2626.20587577262,2686.577850327507,2736.0895180378297,2771.093472848373,2790.1521707838765,2808.206899231339,2825.516661594297,2850.3394834779865,2881.5065955584146,2919.1136656123517,2953.0891972687427,2978.850603761903,2999.7778693273854,3013.211793762253,3019.026316315519
394463,3,"Chicago, IL",msa,IL,1478.1492643928666,1490.961012186631,1502.7021340667047,1528.9525568819436,1535.9971967486078,1543.6180128297797,1539.7381585140038,1532.1380867852952,1520.181703564109,1517.3371588932396,1522.4410249176494,1533.2096297046348,1544.2808599940472,1555.102029472886,1566.2580772390877,1575.6714908551726,1581.5409295530394,1582.8552960362788,1576.618305250805,1564.2774922258664,1551.20225753338,1544.835631000719,1546.5951261863167,1559.7675146017664,1575.4288294917474,1593.4245839666821,1606.1033970905842,1615.8948921767912,1620.4398619846947,1618.0613581363789,1610.4722324405216,1599.3515520283295,1589.6865078090184,1587.5791709067869,1590.6599900312601,1599.6119171814346,1610.4632722646102,1622.522218628196,1634.7035646167792,1645.2614636324004,1651.5431801576406,1650.9434205243676,1643.6350216823346,1632.0427085704496,1623.909109356676,1618.468507800168,1624.161129545264,1632.4856172781951,1646.916364584298,1661.1497194867393,1675.383147728839,1687.4752364122328,1694.659136787395,1695.8306387979871,1691.5180841539511,1683.039146738214,1672.4819303999916,1666.0587465482984,1669.801099681115,1680.4633445313282,1694.3461366758954,1696.7073505198696,1697.1873561853251,1692.7820284798204,1691.6748415966197,1683.400464392118,1667.7716509096815,1646.9513280063588,1630.2193331951985,1620.6488372517763,1618.487977090229,1621.8469609298884,1638.019675295799,1668.2461513566102,1704.622138935034,1736.2639204925129,1757.9500846486167,1775.5967467524197,1784.8552236945138,1787.9291521201717,1788.899931339825,1795.6295709370288,1808.471848729365,1823.7780746666533,1843.0102796908996,1865.3075371912335,1890.5139512221033,1911.4379533911108,1930.8115784610002,1939.37043938302,1941.9337863157243
394514,4,"Dallas, TX",msa,TX,1180.7130349735992,1191.1121245454444,1202.3976002907145,1209.4094285549966,1216.1177160075688,1221.309350436838,1220.4048068474722,1218.8815269057147,1215.6610040082637,1217.376377505611,1220.7631279699349,1225.7401282177138,1238.2383994219247,1249.1217593305016,1261.3205958328201,1267.2792371470775,1273.7967867625591,1276.7453121114368,1277.2398752270792,1276.2942098033736,1277.0811503316518,1277.2178341877207,1280.402079534987,1285.3439781560214,1296.6470155252484,1305.8007409106021,1318.105470702537,1326.4229028085729,1333.3592547898809,1336.6771574876373,1335.7962334576205,1336.5901344787167,1332.9717186420776,1332.407463939124,1334.2765166041115,1341.1646548758674,1348.075324130472,1354.9666508825705,1359.1161915968528,1367.7838143225188,1373.9425212723836,1380.855822798214,1379.218652800961,1380.4903236737723,1380.976379383074,1381.344012192676,1381.9301478702957,1387.374655738931,1396.2952674267156,1406.129389167302,1413.9083695599047,1424.936607447155,1430.9722942192684,1432.7964273778107,1432.9132114064332,1430.9625195423655,1428.7394561431136,1425.4291053428722,1426.3992672862232,1432.204256685319,1440.264999640608,1439.6613232982381,1436.2585935148647,1434.0718073404994,1439.146697797324,1443.6523877279606,1444.8864004805605,1448.3109337669553,1452.177908036494,1457.690572759148,1461.4235199747689,1468.8156777936695,1481.6177717491298,1504.659399620645,1535.445503247386,1573.9532741288726,1614.7468589905143,1653.5088195475662,1683.3688839853087,1699.9071037826518,1714.2378024480738,1724.699774500112,1736.260929577432,1747.886284642546,1758.449166122368,1780.575633371691,1807.4868987472942,1842.0092690815416,1866.3787887315943,1876.7159825501478,1875.8446429326814
394692,5,"Houston, TX",msa,TX,1262.4656810079568,1272.668785546088,1281.458904929625,1290.2961976033737,1294.4835275264952,1297.5853478543108,1294.9098940901013,1290.2006374674718,1287.1752480209216,1286.3218917490485,1286.7231494519872,1289.1561914733652,1295.5334195630983,1299.0318106719878,1298.5125206442772,1296.6184917445362,1295.8764409786702,1293.8850838070916,1289.2384710212905,1285.5524950793838,1280.840214916183,1276.6947357061076,1274.033958324334,1278.283979809859,1286.6830286062618,1293.444395531472,1300.3233362759636,1302.3931439816856,1303.5361839244847,1301.74982496019,1303.800376574366,1313.2444887327272,1322.9651785143997,1330.2591556558182,1331.5516888423065,1333.3055705143888,1337.1568929062446,1343.1956588562416,1348.2163840236674,1352.502330842155,1355.4077647243134,1355.4936113670378,1353.1726653657192,1351.716873963606,1354.614425805507,1353.631958634074,1352.393515827612,1350.173429814657,1355.4289468592563,1361.1630738969236,1368.4314146456336,1375.0223117267985,1379.4399347008143,1379.8547060119324,1376.4326552951848,1375.1957769989247,1373.4954420167376,1376.0867065852867,1376.8580280825252,1380.140877457051,1384.1677994839056,1379.6278441873153,1372.3996206319198,1363.648292292714,1363.0365716460574,1365.7635997247357,1367.7358295356007,1372.8780154494527,1378.1560430728168,1380.778184205808,1380.5600195804452,1377.2901879261965,1383.185348947913,1396.1247661823852,1423.1964907763968,1454.5127333484652,1486.6377536809703,1513.0866911723158,1525.104843639038,1535.0688432530192,1539.3696338393847,1549.1628574516449,1549.9209820638416,1557.5618710196256,1564.5653422031958,1579.2287625439271,1592.8537454224213,1607.5144332669574,1619.7584971746237,1626.961921178584,1627.8866087573601
395209,6,"Washington, DC",msa,VA,1826.7048334628946,1837.0475039902321,1842.7851571972583,1854.0725753365791,1856.4515371517598,1858.1753459866093,1855.4748717491266,1855.8893477591473,1853.4873519626194,1853.5694775515396,1850.7283293960072,1856.306314039301,1865.3859090057247,1874.1300849256986,1882.8904613922914,1888.874403687896,1883.182497519734,1884.0682236192524,1878.0814966377015,1881.8324044126132,1873.629275372769,1869.471490744504,1873.3220700929426,1881.0942639249122,1893.0440327017536,1904.3786299141523,1916.8507295060529,1926.9345893574891,1929.4898773720113,1930.7150769552156,1928.3509773863316,1922.2179343544278,1909.7214676175593,1901.421204536825,1901.4983047597027,1909.6692651750866,1917.6647844606543,1930.6676017509194,1941.9706552669618,1957.6459547573602,1966.7177790882042,1974.128310019632,1970.430527655106,1965.047849281483,1959.414631165607,1958.9152959531561,1962.9003851289215,1970.3895347769471,1980.349963655629,1992.669054158127,2005.5244374332708,2018.7989480688518,2026.5640467723179,2029.265542161292,2029.7785335261135,2023.9435908309772,2016.3038371536368,2007.937409812073,2010.5114621314908,2017.674774426684,2028.6341722086265,2026.480962052237,2018.230963977585,2009.4611382791911,2006.1019716379042,2001.5182109176926,1986.1707676061005,1967.377172256844,1946.6828523443692,1936.418171340551,1933.5080088126012,1941.9715235597268,1951.9398390588053,1972.0029321737977,2002.2491619470868,2042.7724892670283,2085.4012061383446,2124.350302765634,2148.3638726624863,2162.7790080861473,2165.4347933016675,2171.7229079877766,2173.4824381066296,2182.6873433646133,2194.518887973526,2216.827684188101,2240.142362470634,2266.4182196585493,2288.5285832425157,2304.8806712572027,2309.5450379597273
394856,7,"Miami, FL",msa,FL,1667.4291380715824,1672.5252503725414,1679.1692698943277,1689.8036520559542,1697.2802147880798,1706.7078169744861,1716.2972431519897,1731.6891322324957,1742.3159545374297,1747.227418314514,1750.9435296979896,1753.8660329590275,1759.881962736876,1759.779613428102,1758.852801526486,1756.994249282094,1760.516791732387,1764.1524272142815,1768.1442144799003,1771.1087912021537,1774.89448376448,1775.2086418072536,1780.9023730167698,1784.2340257109975,1793.175293027433,1795.1791976983095,1797.6758592605647,1800.3980160632395,1806.805371132137,1814.2865443293842,1818.729389999267,1826.1075906515043,1827.9086454423407,1831.256694722143,1832.7998720316857,1835.7872851880404,1839.686357816198,1840.3495050137112,1845.3487564320794,1851.2379527131618,1857.8426148894966,1865.1885109461882,1872.4134318273786,1881.799728066272,1888.8164460452233,1892.5918879481324,1891.8573581983692,1891.9818986406156,1894.707388137206,1898.1839391153214,1900.4354856993232,1902.9739846994112,1908.8528032157365,1915.7178708269598,1921.9189452543037,1930.0949377410834,1939.1960527945037,1950.3633612380718,1954.7242422791726,1958.9438809857663,1958.5283710105548,1954.5702887479792,1941.803643226092,1933.3425914705142,1935.587347032425,1944.9259696584768,1952.6172376652166,1961.8900696780784,1977.6700946230374,1996.3686070106753,2020.2499475018233,2041.4545371299564,2073.1752396798515,2111.750168170924,2162.356410726934,,,2380.2870349243967,2450.9949442567663,2504.955533238695,2564.2037684380566,2626.841490579421,2674.2084851290892,2715.973320267265,2754.6468887083774,2807.065932840618,2851.135776451453,2879.693765238804,2896.3537273603624,2899.035362653832,2912.0968535567017
394974,8,"Philadelphia, PA",msa,PA,1329.4335993174373,1339.132941933327,1354.4609360554282,1362.9331895663374,1365.6804385574776,1364.3178139515553,1362.3597576829886,1359.4718719853686,1359.3103435230385,1358.1801030014435,1362.4243835807536,1367.0230215737975,1376.7045636097798,1385.204829544526,1393.3175645026135,1398.8115389144932,1404.3969260389745,1401.747686918043,1396.9751611725383,1390.500788760774,1390.623792452919,1391.6221400959298,1396.3364832105403,1401.6165792784461,1412.3789307251686,1420.5182321145194,1428.1856620835993,1431.836561712558,1435.3107181292144,1436.8603342190502,1435.5380041242606,1433.802650539747,1438.1601593535015,1440.871565339566,1440.3462761796372,1439.5101640253529,1446.669784791881,1460.1561868288072,1472.1258853421443,1478.4614601157991,1479.9917872799097,1478.9563694953445,1479.6610627454609,1481.1328305207578,1481.0484888895046,1482.6627481711073,1487.4129878141653,1495.2797841384604,1504.026576465063,1511.353390422416,1519.04269703473,1528.1303813248805,1534.1040002945715,1537.0061974883606,1533.581145086342,1533.2467450871081,1530.65411702955,1530.5606821083845,1529.886075968279,1539.888611490219,1549.8668881695805,1552.1527457928,1550.4897382852803,1549.9970392174453,1555.610420388052,1559.2068035937777,1559.0145926372657,1558.1191168637129,1557.4627190211709,1559.0207374547656,1560.249708055411,1562.6553108352198,1569.9595426565895,1587.5284273276923,1609.7075748802934,1634.2421380733372,1657.2652525062465,1683.4287706443386,1705.2550600775423,1724.1143438119252,1732.3519507866315,1746.41244048779,1746.9003288792667,1755.6170814457344,1760.3423545210696,1778.7529355435531,1794.188605569483,1811.544013257712,1828.5580082982608,1840.6569247094756,1843.2929588809334
394347,9,"Atlanta, GA",msa,GA,1119.293269904406,1129.0484904547052,1140.5908197956026,1152.6691540670886,1162.0909963397448,1163.7814974482812,1160.733860947204,1158.42809469999,1159.520420477242,1163.5907645055436,1167.5329857511638,1175.4610894059865,1188.4237847570178,1198.3965810194302,1208.8559446875113,1216.1957470654584,1225.7095394573944,1230.164513126882,1231.5558603858274,1234.8387642373455,1235.439007419737,1235.079218519913,1236.280024646329,1243.6404460222484,1255.1617381082642,1266.5409826880712,1279.0091410435325,1291.0066414531052,1301.8513532410489,1309.073208284098,1312.7700991189151,1312.029958196579,1309.9132022663357,1309.0499557213982,1313.1978485528182,1320.4124584689177,1332.0779419216701,1342.740362631118,1358.0807592940496,1367.745950249976,1378.2674344259199,1383.2126467817009,1388.710219966212,1392.4140981286473,1395.0483755341959,1397.8952337151427,1404.7560137419232,1410.4673986375028,1420.979467780959,1429.488735887555,1442.0829607495464,1452.4862585141059,1461.343207843245,1467.5762756998993,1470.660696003746,1469.4210886579087,1466.3854027503642,1463.3947712742297,1466.5676908990904,1473.9385572019678,1484.4343426050418,1485.6368977909362,1484.2718243915547,1485.6314809677342,1497.6828010419688,1514.0082863183923,1525.2702587951,1535.7432209707076,1542.7843254794052,1553.3407823606276,1564.294379428125,1581.8541036612808,1602.9166435875475,1631.5522241502913,1664.4422829396851,1707.2884985270334,1757.7154872504698,1814.0266944522166,1857.9736977496673,1887.0295546943034,1896.9185604367294,1900.7804285185373,1902.8598872706725,1911.3183219219547,1924.6072222785315,1932.7836138770215,1949.2556158188834,1969.6371109679376,1998.896968390904,2015.554298580357,2024.0969873695503
